ITE00100554,17660101,TMAX,-26,,,E,
ITE00100554,17660101,TMIN,-50,,,E,
ITE00100554,17660102,TMAX,-9,,,E,
ITE00100554,17660102,TMIN,-29,,,E,
ITE00100554,17660103,TMAX,1,,,E,
ITE00100554,17660103,TMIN,-13,,,E,
ITE00100554,17660104,TMAX,15,,,E,
ITE00100554,17660104,TMIN,1,,,E,
ITE00100554,17660105,TMAX,6,,,E,
ITE00100554,17660105,TMIN,-14,,,E,
ITE00100554,17660106,TMAX,3,,,E,
ITE00100554,17660106,TMIN,-11,,,E,
ITE00100554,17660107,TMAX,-7,,,E,
ITE00100554,17660107,TMIN,-33,,I,E,
ITE00100554,17660108,TMAX,-47,,I,E,
ITE00100554,17660108,TMIN,-69,,,E,
ITE00100554,17660109,TMAX,-43,,,E,
ITE00100554,17660109,TMIN,-69,,,E,
ITE00100554,17660110,TMAX,-28,,,E,
ITE00100554,17660110,TMIN,-42,,,E,
ITE00100554,17660111,TMAX,-31,,,E,
ITE00100554,17660111,TMIN,-57,,,E,
ITE00100554,17660112,TMAX,-19,,,E,
ITE00100554,17660112,TMIN,-53,,,E,
ITE00100554,17660113,TMAX,-39,,,E,
ITE00100554,17660113,TMIN,-73,,,E,
ITE00100554,17660114,TMAX,-34,,,E,
ITE00100554,17660114,TMIN,-68,,,E,
ITE00100554,17660115,TMAX,-29,,,E,
ITE00100554,17660115,TMIN,-63,,,E,
ITE00100554,17660116,TMAX,-18,,,E,
ITE00100554,17660116,TMIN,-54,,,E,
ITE00100554,17660117,TMAX,-20,,,E,
ITE00100554,17660117,TMIN,-56,,,E,
ITE00100554,17660118,TMAX,-15,,,E,
ITE00100554,17660118,TMIN,-51,,,E,
ITE00100554,17660119,TMAX,4,,,E,
ITE00100554,17660119,TMIN,-32,,,E,
ITE00100554,17660120,TMAX,6,,,E,
ITE00100554,17660120,TMIN,-32,,,E,
ITE00100554,17660121,TMAX,-12,,,E,
ITE00100554,17660121,TMIN,-50,,,E,
ITE00100554,17660122,TMAX,-5,,,E,
ITE00100554,17660122,TMIN,-43,,,E,
ITE00100554,17660123,TMAX,-11,,,E,
ITE00100554,17660123,TMIN,-49,,,E,
ITE00100554,17660124,TMAX,1,,,E,
ITE00100554,17660124,TMIN,-39,,,E,
ITE00100554,17660125,TMAX,-11,,,E,
ITE00100554,17660125,TMIN,-51,,,E,
ITE00100554,17660126,TMAX,-4,,,E,
ITE00100554,17660126,TMIN,-44,,,E,
ITE00100554,17660127,TMAX,0,,,E,
ITE00100554,17660127,TMIN,-42,,,E,
ITE00100554,17660128,TMAX,27,,,E,
ITE00100554,17660128,TMIN,-15,,,E,
ITE00100554,17660129,TMAX,30,,,E,
ITE00100554,17660129,TMIN,-12,,,E,
ITE00100554,17660130,TMAX,21,,,E,
ITE00100554,17660130,TMIN,-21,,,E,
ITE00100554,17660131,TMAX,19,,,E,
ITE00100554,17660131,TMIN,-25,,,E,
ITE00100554,17660201,TMAX,23,,,E,
ITE00100554,17660201,TMIN,-13,,,E,
ITE00100554,17660202,TMAX,11,,,E,
ITE00100554,17660202,TMIN,-9,,,E,
ITE00100554,17660203,TMAX,6,,,E,
ITE00100554,17660203,TMIN,-24,,,E,
ITE00100554,17660204,TMAX,17,,,E,
ITE00100554,17660204,TMIN,-5,,,E,
ITE00100554,17660205,TMAX,21,,,E,
ITE00100554,17660205,TMIN,-1,,,E,
ITE00100554,17660206,TMAX,33,,,E,
ITE00100554,17660206,TMIN,-5,,,E,
ITE00100554,17660207,TMAX,30,,,E,
ITE00100554,17660207,TMIN,8,,,E,
ITE00100554,17660208,TMAX,11,,,E,
ITE00100554,17660208,TMIN,-11,,,E,
ITE00100554,17660209,TMAX,25,,,E,
ITE00100554,17660209,TMIN,-7,,,E,
ITE00100554,17660210,TMAX,22,,,E,
ITE00100554,17660210,TMIN,-12,,,E,
ITE00100554,17660211,TMAX,-1,,,E,
ITE00100554,17660211,TMIN,-35,,,E,
ITE00100554,17660212,TMAX,-11,,,E,
ITE00100554,17660212,TMIN,-45,,,E,
ITE00100554,17660213,TMAX,30,,,E,
ITE00100554,17660213,TMIN,-4,,,E,
ITE00100554,17660214,TMAX,32,,,E,
ITE00100554,17660214,TMIN,-2,,,E,
